Family,N,Mean_Ratio,SD_Ratio,CV_%,R_family
Bi-2201,1,1.3490909090909091,,,1.0377622377622377
Bi-2212,1,1.3497916666666667,,,1.038301282051282
Bi-2223,1,1.3493636363636363,,,1.037972027972028
Hg-1201,1,1.0235051546391754,,,0.7873116574147503
Hg-1212,1,1.623046875,,,1.248497596153846
Hg-1223,1,1.626492537313433,,,1.2511481056257177
Infinite-layer,2,0.9097928118393235,3.5878568178444205e-05,0.003943597675377176,0.6998406244917873
T214,5,1.3170273792357605,0.16607663493688435,12.609960700532637,1.013097984027508
Tl-1212,1,1.555777777777778,,,1.1967521367521368
Tl-2201,1,1.5534408602150538,,,1.1949545078577337
Tl-2212,1,0.9552777777777778,,,0.7348290598290598
Y123,1,1.5,,,1.1538461538461537
