Material,Tc,Theta,x,Family,Ratio,Set
Hg-1223,134.0,217.95,0.16,Hg-1223,1.626492537313433,Included
Hg-1212,128.0,207.75,0.16,Hg-1212,1.623046875,Included
Bi-2223,110.0,148.43,0.16,Bi-2223,1.3493636363636363,Included
Tl-2212,108.0,103.17,0.16,Tl-2212,0.9552777777777778,Included
Hg-1201,97.0,99.28,0.16,Hg-1201,1.0235051546391754,Included
Bi-2212,96.0,129.58,0.16,Bi-2212,1.3497916666666667,Included
YBCO,93.0,139.5,0.16,Y123,1.5,Included
Tl-2201,93.0,144.47,0.16,Tl-2201,1.5534408602150538,Included
Tl-1212,90.0,140.02,0.16,Tl-1212,1.555777777777778,Included
LSCO,38.0,54.12,0.16,T214,1.4242105263157894,Included
Bi-2201,33.0,44.52,0.16,Bi-2201,1.3490909090909091,Included
Eu-LSCO,32.0,45.58,0.16,T214,1.424375,Included
Ca-Sr-CuO2,110.0,100.08,0.1,Infinite-layer,0.9098181818181816,Excluded
Ba214,73.0,76.38,0.3,T214,1.0463013698630137,Excluded
Sr-La-CuO2,43.0,39.12,0.1,Infinite-layer,0.9097674418604652,Excluded
NCCO,24.0,30.39,0.15,T214,1.26625,Excluded
Pr-LSCO,20.0,28.48,0.12,T214,1.424,Excluded
